timestamp,fromLabel,toLabel,tokenAddressLabel,fromIsContract,toIsContract
2020-01-27 11:00:12,366247,338733,2024,0,0
2020-01-27 11:00:12,3,370587,2753,0,1
2020-01-27 11:00:22,3,312023,948,0,0
2020-01-27 11:00:22,3,58068,948,0,0
2020-01-27 11:00:34,3,383495,2799,0,0
2020-01-27 11:00:34,3,383495,2799,0,0
2020-01-27 11:00:34,366247,338733,2024,0,0
2020-01-27 11:00:39,3,383495,2799,0,0
2020-01-27 11:00:39,3,383495,2799,0,0
2020-01-27 11:01:10,120701,138856,774,0,0
2020-01-27 11:01:12,3,383495,2799,0,0
2020-01-27 11:01:12,3,305183,6,0,1
2020-01-27 11:01:50,3,354378,84,0,1
2020-01-27 11:01:50,3,357825,84,0,1
2020-01-27 11:01:50,370587,383896,2753,1,1
2020-01-27 11:01:50,136826,1260,1279,0,0
2020-01-27 11:01:50,3,1571,2610,0,0
2020-01-27 11:02:07,3,305183,6,0,1
2020-01-27 11:02:07,8,384074,3,1,1
2020-01-27 11:02:07,3,310699,426,0,0
2020-01-27 11:02:27,362771,3,2024,0,0
2020-01-27 11:02:38,3,310699,426,0,0
2020-01-27 11:02:52,3,305183,6,0,1
2020-01-27 11:02:52,3,310699,426,0,0
2020-01-27 11:03:17,3,286,3,0,0
2020-01-27 11:03:17,3,495,3,0,0
2020-01-27 11:03:17,3,1571,2610,0,0
2020-01-27 11:03:36,3,140062,3,0,1
2020-01-27 11:03:36,3,362355,3,0,1
2020-01-27 11:03:36,3,362355,3,0,1
2020-01-27 11:03:36,370587,383366,2740,1,1
2020-01-27 11:03:36,3,373137,2383,0,0
2020-01-27 11:03:36,3,362789,2610,0,0
2020-01-27 11:04:23,3,370587,2753,0,1
2020-01-27 11:04:51,57466,113033,948,0,0
2020-01-27 11:05:32,3,383673,2830,0,0
2020-01-27 11:05:32,370188,1555,2024,0,0
2020-01-27 11:05:32,3,326933,458,0,0
2020-01-27 11:05:47,8,319187,3,1,1
2020-01-27 11:05:47,3,305183,6,0,1
2020-01-27 11:05:47,3,305183,6,0,1
2020-01-27 11:05:47,8,384074,3,1,1
2020-01-27 11:06:03,3,1571,2610,0,0
2020-01-27 11:06:03,81385,384068,458,0,0
2020-01-27 11:06:11,52082,383974,458,0,0
2020-01-27 11:06:32,84796,96456,180,0,1
2020-01-27 11:06:32,111619,99360,6,0,0
2020-01-27 11:06:37,3,384075,2024,0,0
2020-01-27 11:06:50,367321,369601,2024,0,0
2020-01-27 11:06:50,3,305183,6,0,1
2020-01-27 11:06:50,84796,96456,180,0,1
2020-01-27 11:06:50,84796,96456,180,0,1
2020-01-27 11:06:50,84796,96456,180,0,1
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,352436,97867,774,0,0
2020-01-27 11:07:58,3,1571,2610,0,0
2020-01-27 11:08:11,3,83781,458,0,0
2020-01-27 11:08:11,370587,373064,2740,1,1
2020-01-27 11:08:11,8,213,3,1,0
2020-01-27 11:08:15,3,1571,2610,0,0
2020-01-27 11:08:15,3,384029,2823,0,0
2020-01-27 11:08:15,93224,117889,458,0,1
2020-01-27 11:08:15,3,113033,2325,0,0
2020-01-27 11:08:15,3,362789,2610,0,0
2020-01-27 11:08:18,3,52136,2799,0,0
2020-01-27 11:08:18,368231,374675,2024,0,0
2020-01-27 11:08:18,383673,316285,2830,0,0
2020-01-27 11:08:18,369601,3,2024,0,0
2020-01-27 11:08:18,3,384029,2823,0,0
2020-01-27 11:08:41,3,276550,3,0,1
2020-01-27 11:08:55,3,362789,2610,0,0
2020-01-27 11:09:18,3,52136,2799,0,0
2020-01-27 11:09:18,3,362789,2610,0,0
2020-01-27 11:09:32,3336,95794,458,0,0
2020-01-27 11:09:32,3,61422,950,0,0
2020-01-27 11:10:15,3,362789,2610,0,0
2020-01-27 11:10:36,3336,95794,180,0,0
2020-01-27 11:11:01,374675,3,2024,0,0
2020-01-27 11:11:01,3,61422,950,0,0
2020-01-27 11:11:01,3,383933,6,0,0
2020-01-27 11:11:06,3,83781,458,0,0
2020-01-27 11:11:31,3,335614,2024,0,0
2020-01-27 11:11:31,3,1571,2610,0,0
2020-01-27 11:11:31,374675,3,2024,0,0
2020-01-27 11:12:03,374675,3,2024,0,0
2020-01-27 11:12:18,3,61422,950,0,0
2020-01-27 11:12:18,3,1571,2610,0,0
2020-01-27 11:12:44,3,61422,950,0,0
2020-01-27 11:12:44,3,1571,2610,0,0
2020-01-27 11:13:31,3,384075,2024,0,0
2020-01-27 11:13:31,138856,139454,774,0,0
2020-01-27 11:13:40,83781,87026,458,0,0
2020-01-27 11:13:40,3,1571,2610,0,0
2020-01-27 11:14:27,3,114171,3,0,1
2020-01-27 11:14:27,83781,87026,458,0,0
2020-01-27 11:14:27,28,341360,3,1,1
2020-01-27 11:14:44,213,8,3,0,1
2020-01-27 11:14:44,373137,369961,2383,0,1
2020-01-27 11:14:44,373137,369961,2383,0,1
2020-01-27 11:15:22,28,341360,3,1,1
2020-01-27 11:15:22,28,341360,3,1,1
2020-01-27 11:15:22,28,341360,3,1,1
2020-01-27 11:15:25,28,341360,3,1,1
2020-01-27 11:15:25,89399,96456,180,0,1
2020-01-27 11:15:25,3,79820,2610,0,0
2020-01-27 11:16:20,28,341360,3,1,1
2020-01-27 11:16:20,28,341360,3,1,1
2020-01-27 11:16:20,28,341360,3,1,1
2020-01-27 11:16:20,369573,28,3,0,1
2020-01-27 11:17:00,3,2257,3,0,0
2020-01-27 11:17:00,3,379924,3,0,1
2020-01-27 11:17:00,28,341360,3,1,1
2020-01-27 11:17:16,96456,51982,180,1,0
2020-01-27 11:17:35,3,94671,2610,0,0
2020-01-27 11:17:35,3,79820,2610,0,0
2020-01-27 11:18:04,3,367224,2387,0,0
2020-01-27 11:18:04,213,8,3,0,1
2020-01-27 11:18:04,3,79820,2610,0,0
2020-01-27 11:18:13,3,362789,2610,0,0
2020-01-27 11:18:25,3,384074,3,0,1
2020-01-27 11:19:33,3,312023,426,0,0
2020-01-27 11:20:28,3,362789,2610,0,0
2020-01-27 11:20:28,81973,113033,952,0,0
2020-01-27 11:20:28,95653,95040,300,0,0
2020-01-27 11:20:28,3,82264,1039,0,0
2020-01-27 11:22:02,3,140077,3,0,1
2020-01-27 11:22:02,369961,588,2383,1,0
2020-01-27 11:22:02,48,382785,6,1,0
2020-01-27 11:22:02,341360,28,3,1,1
2020-01-27 11:22:02,341360,28,3,1,1
2020-01-27 11:22:34,3,362789,2610,0,0
2020-01-27 11:22:34,3,312023,426,0,0
2020-01-27 11:22:34,65610,384076,319,0,0
2020-01-27 11:22:34,317471,117889,458,0,1
2020-01-27 11:23:24,369961,588,2383,1,0
2020-01-27 11:23:24,341360,28,3,1,1
2020-01-27 11:23:24,341360,28,3,1,1
2020-01-27 11:23:39,341360,28,3,1,1
2020-01-27 11:23:39,3,88938,600,0,0
2020-01-27 11:23:39,88938,88589,600,0,1
2020-01-27 11:23:39,97205,312459,458,0,0
2020-01-27 11:23:39,370587,384077,2753,1,1
2020-01-27 11:23:46,3,96434,2504,0,0
2020-01-27 11:23:46,113033,3,952,0,0
2020-01-27 11:23:52,3,372608,2024,0,0
2020-01-27 11:23:52,341360,28,3,1,1
2020-01-27 11:23:52,3,88938,600,0,0
2020-01-27 11:23:52,88938,88589,600,0,1
2020-01-27 11:23:52,3,362789,2610,0,0
2020-01-27 11:23:52,3,362789,2610,0,0
2020-01-27 11:23:52,3,362789,2610,0,0
2020-01-27 11:23:52,3,362789,2610,0,0
2020-01-27 11:23:52,3,367224,2387,0,0
2020-01-27 11:23:52,369961,7580,2383,1,0
2020-01-27 11:23:58,341360,28,3,1,1
2020-01-27 11:23:58,3,362789,2610,0,0
2020-01-27 11:23:58,139454,138864,774,0,0
2020-01-27 11:24:24,111095,51352,2185,0,0
2020-01-27 11:24:24,341360,28,3,1,1
2020-01-27 11:24:27,138177,370052,2024,0,0
2020-01-27 11:24:29,341360,28,3,1,1
2020-01-27 11:24:55,3,383375,2024,0,0
2020-01-27 11:25:36,367572,372608,2024,0,0
2020-01-27 11:25:36,345517,372608,2024,0,0
2020-01-27 11:25:36,369961,588,2383,1,0
2020-01-27 11:25:38,355448,383211,2185,0,1
2020-01-27 11:25:38,383211,58901,2185,1,0
2020-01-27 11:25:38,369961,370321,2383,1,0
2020-01-27 11:25:38,369961,370321,2383,1,0
2020-01-27 11:25:38,367627,362357,2185,0,1
2020-01-27 11:25:38,362357,94510,2185,1,0
2020-01-27 11:25:38,2590,383211,499,0,1
2020-01-27 11:25:38,383211,355567,499,1,0
2020-01-27 11:25:42,3,94671,2610,0,0
2020-01-27 11:25:42,3,58484,950,0,0
2020-01-27 11:25:46,85,368466,9,1,0
2020-01-27 11:25:54,3,495,3,0,0
2020-01-27 11:25:54,3,105628,3,0,1
2020-01-27 11:26:43,3,122,9,0,1
2020-01-27 11:26:43,122,85,9,1,1
2020-01-27 11:26:43,371537,91040,2024,0,0
2020-01-27 11:26:58,369961,370321,2383,1,0
2020-01-27 11:26:58,62440,383211,2185,0,1
2020-01-27 11:26:58,383211,115263,2185,1,0
2020-01-27 11:26:58,88589,308840,600,1,0
2020-01-27 11:26:58,3,362789,2610,0,0
2020-01-27 11:27:02,3,374323,3,0,0
2020-01-27 11:27:14,3,495,3,0,0
2020-01-27 11:27:21,3,370587,2753,0,1
2020-01-27 11:27:21,88589,308840,600,1,0
2020-01-27 11:27:31,369363,372608,2024,0,0
2020-01-27 11:27:31,374219,372608,2024,0,0
2020-01-27 11:27:31,356137,372608,2024,0,0
2020-01-27 11:27:31,3,1571,2610,0,0
2020-01-27 11:28:03,367332,372608,2024,0,0
2020-01-27 11:28:53,366227,372608,2024,0,0
2020-01-27 11:28:53,370587,383327,2740,1,1
2020-01-27 11:28:53,3,1571,2610,0,0
2020-01-27 11:28:53,91040,3,2024,0,0
2020-01-27 11:29:03,3,354378,84,0,1
2020-01-27 11:29:03,61422,3,950,0,0
2020-01-27 11:29:24,372608,3,2024,0,0
2020-01-27 11:29:24,372608,3,2024,0,0
2020-01-27 11:29:24,372608,3,2024,0,0
2020-01-27 11:29:34,370587,382209,2737,1,1
2020-01-27 11:29:34,3,370587,2753,0,1
2020-01-27 11:30:26,3,357825,84,0,1
2020-01-27 11:31:09,61422,3,950,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,337822,97867,774,0,0
2020-01-27 11:31:09,372608,3,2024,0,0
2020-01-27 11:31:09,372608,3,2024,0,0
2020-01-27 11:31:09,372608,3,2024,0,0
2020-01-27 11:31:09,372608,3,2024,0,0
2020-01-27 11:31:34,370052,3,2024,0,0
2020-01-27 11:31:45,3,370321,2383,0,0
2020-01-27 11:31:45,3,370321,2383,0,0
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,372162,311022,600,0,1
2020-01-27 11:31:45,3,367224,2387,0,0
2020-01-27 11:31:56,3,96434,2504,0,0
2020-01-27 11:32:16,96456,83329,180,1,0
2020-01-27 11:32:55,3,362789,2610,0,0
2020-01-27 11:32:55,3,362789,2610,0,0
2020-01-27 11:32:55,3,362789,2610,0,0
2020-01-27 11:32:56,88589,84989,600,1,0
2020-01-27 11:33:14,3,362789,2610,0,0
2020-01-27 11:33:36,3,362789,2610,0,0
2020-01-27 11:33:36,8,384074,3,1,1
2020-01-27 11:33:36,3,6895,2610,0,0
2020-01-27 11:33:45,354643,362357,2185,0,1
2020-01-27 11:33:45,362357,94510,2185,1,0
2020-01-27 11:35:40,3,362789,2610,0,0
2020-01-27 11:35:40,83329,93342,180,0,0
2020-01-27 11:36:05,3,84989,600,0,0
2020-01-27 11:36:05,84989,88589,600,0,1
2020-01-27 11:36:05,342575,369961,2383,0,1
2020-01-27 11:36:05,3,6895,2610,0,0
2020-01-27 11:36:05,369961,342700,2383,1,0
2020-01-27 11:36:05,370321,369961,2383,0,1
2020-01-27 11:36:32,368676,3,2024,0,0
